Nota;Etiqueta
you are just a pussy stupid fag boy .;Anger
you are such an ugly fag boy no faggot would even fuck an uglyfagg boiy like you .;Anger
i will not be the faggot the queer the fag boy the pussy .;Anger
i wish she was dead .;Anger
fuck fuck fuck fuck fuck fuck fuck asshole .;Anger
fuck her the bitch .;Anger
i hate her .;Anger
i hate her hate her hater her hate her hater her she is the faggot if faggot means anything bad not me .;Anger
assholes assholes fuck fuck fuck;Anger
what do they know they talk about fucking girls .;Anger
i never talk about any of it assholes fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck;Anger
god damn assholes .;Anger
asshole . i will stick it up his ass asshole .;Anger
can faggots be happy .;Anger
i do not know but i am not a faggot they are faggots and i am a person .;Anger
assholes .;Anger
itewqa on tuesday that ithouth antoerther antoe fuckufuckfuckfuck .;Anger
they are the fucking fags .;Anger
you are the fags;Anger
you say faggot faggot queer queer but you do not know anyting;Anger
i know that you are stupid assholes and that is more than you know;Anger
the real faggots are tthem;Anger
i formed a sort of a fuck you attitude towards my parents and came out as gay at school thinking that maybe if i eased into coming out as trans it would be less of a shock .;Anger
i am leaving you with your worries in this sweet cesspool .;Anger
their lives will be tough enough .;Anger
and i have become a monster .;Anger
NAME is a soulless bastard .;Anger
you are a waste of space ignorant and a rotten . . i wish i were never born .;Anger
all you want in life is partying your women and your selfish motives .;Anger
i am angry only because he has suspected me without any basis .;Anger
instead i have this black bitch bitch if the word is not familiar to you but at least an honest one who will mean what she says .;Anger
i am leaving you with your worries in this sweet cesspool good luck .;Anger
do whatever you want with the fucking thing .;Anger
NAME on the other side how could you NAME fake such a great love for me and our baby when all the time you did not want us i see no other way out for me so goodbye and good luck to you .;Blame
reasons for deciding to put an end to my life are simple and compelling parkinsons disease and the slow killing variety of leukemia ccl .;Blame
my dear this is to acquaint you that you are the fatal cause of this action your behavior to me has drove me distracted .;Blame
from him who was once an indulgent husband .;Blame
there is no one that admires jesus christ more than i do although the conventional contemporary method of worshiping him rives me a pain in the neck .;Blame
applause we have been so betrayed .;Blame
we have been so terribly betrayed .;Blame
they led me to destroy the proof of their misdeeds and still they behave as if they have nothing to do with me .;Blame
we have the means to afford the best doctors hospitals and aroundtheclock home care to the end of our days but neither of us wants that kind of life .;Blame
suicides have already betrayed the body .;Blame
it is not decent for society to make a man do this to himself .;Blame
it must be because we have thought of you in a thousand happy moments because we have imagined a thousand times how you with your generous nature would have laughed exulted if you had seen us together in the green room .;Blame
that is why you do not agree with me you do not understand japan .;Blame
you are unconstitutional listen you are unconstitutional .;Blame
the jieitai is unconstitutional you are all unconstitutional do not you understand will any of you rise with me you will not rise .;Blame
the irs and its liens which have been taken against our property illegally by a runaway agency of our government have dried up all sources of credit for us .;Blame
we die because you would not let us live in peace .;Blame
it has made it impossible for me to enjoy the simple pleasures of life .;Blame
she is the one person who could have saved me had i been savable .;Blame
as only a couple responded .;Blame
so pnuch that it makes me feel too fucking sad .;Blame
even you are only a pretext .;Blame
NAME is responsible for my death .;Blame
he refuses to help me .;Blame
why did so many people lie to me .;Blame
she killed me .;Blame
it is bullying that killed me .;Blame
i do not want you to think i would kill myself over you because you are not worth any emotion at all .;Blame
it is what you cost me that hurts and nothing can replace it .;Blame
i only got more christians telling me that i was selfish and wrong and that i should look to god for help .;Blame
because you killed me everyday .;Blame
you are much too ignorant and self concerned to even attempt to listen or understand everyone knows that .;Blame
you were always the one that provided for her .;Blame
you did not respect me .;Blame
you may not have known this but you affected me deeply to a point where i lost myself in loving you .;Blame
yet you tortured me everyday .;Blame
but you shattered my dreams .;Blame
you returned my love with cheating and lies .;Blame
you embarrassed me .;Blame
you tore my soul .;Blame
you destroyed my life .;Blame
you destroyed my christmas and my birthday dinner when i came back .;Blame
all i wanted was you and my happiness you took both away from me .;Blame
you made me feel alone and vulnerable .;Blame
being rather backward looking by nature except for science the feminists have always enraged me .;Blame
NAME today you have suspected me without any reason as no act of mine is wrong .;Blame
my mother or father to think that it was anything they did that lead me to kill myself .;Blame
i am afraid i am a coward .;Fear
this has been like a nightmare like life in the twilight zone .;Fear
it would not surprise me to wake up this minute to find out i was home in my bed and had just had a terrible nightmare .;Fear
however i am doubtful about when i can dare to take my own life .;Fear
life perspectives clouded by the vagaries and fears of openendedness become crystal clear .;Fear
how confused it all appears little did i then think that i should journey this road but peace i pray you peace they the pistols are loaded the clock strikes twelve .;Fear
slept horribly .;Fear
i am wondering if i will find time to think of the past as i whirl through space as it is said that a drowning man does when struggling in the water .;Fear
terrific smell of gas fumes .;Fear
i am afraid somebody will come .;Fear
i wonder what it is going to be like chest filling up fast .;Fear
seems to be terrific pressure first .;Fear
NAME had no such scruples and i fear the glitter of his genius rather dazzled me but had i been encouraged nothing but good would have come from me because when encouraged i paid everybody .;Fear
i just do not care anymore i need to go i am so scared now .;Fear
i know that life is horrible now .;Fear
i am scared everyday .;Fear
i do not khow about that everything will be like i am kind of scared too .;Fear
i keep thinking about the pills in the cabinet but i am scared .;Fear
i am so scared i want out but oh i do not know .;Fear
my head is horrible .;Fear
am so nervous all the time i loved ron too much but is that a sin with him gone i have nothing .;Fear
xmas is coming i cannot go on i am afraid i would break down .;Fear
i need to go to a dr . but i am afraid .;Fear
i was afraid that they would get down on me but they did not .;Fear
it is real scary for some of my friends they think they are responsible .;Fear
i am just so afraid of tomorrow !;Fear
i was scared of getting pregnant but i gave myself completely the pain you have caused me everyday has destroyed every bit of me destroyed my soul .;Fear
i just became increasingly scared that you would hurt me mentally or physically .;Fear
what have i done wrong ?;Fear
NAME to NAME may god forgive you and forgive me too but i prefer to take my life away and our babys before i bring him with shame or killing him .;Forgiveness
dear god please have mercy on my soul please forgive me i cannot stand the pain anymore .;Forgiveness
mama sisters and comrades forgive me it is not the best way i do not recommend it to others but i have no other exit .;Forgiveness
my child i have left behind i commend to gods care and i pray god forgive you and as i am weary of life hope he will forgive me your husband NAME .;Forgiveness
dear NAME forgive me but i had to do it like this for political reasons .;Forgiveness
god have mercy on both our souls .;Forgiveness
my god o my god pray forgive me and take care of my dear wife .;Forgiveness
22nd . god forgive me .;Forgiveness
bow wow and goodbye NAME .;Forgiveness
i write oh thou have mercy .;Forgiveness
i forgive everyone and ask forgiveness of everyone .;Forgiveness
god forgive the evil for the sake of the good .;Forgiveness
god forgive me .;Forgiveness
i hope that you will forgive me please forgive me .;Forgiveness
forgive me .;Forgiveness
to NAME may god forgive you and forgive me too but i prefer to take my life away and our baby s before i bring him with shame or killing him lupe .;Forgiveness
please if i have done anything worthwhile in my life .;Forgiveness
please think kindly of me and forgive me .;Forgiveness
so please forgive me all those i love and may god forgive me too but i cannot bear the agony and it is best for everyone this way .;Forgiveness
forgive me if i fail to make sense .;Forgiveness
life is unbearable for me forgive me .;Forgiveness
forgive the mistakes i had 15 minutes to write this .;Forgiveness
please forgive me all for taking my own life so early .;Forgiveness
please forgive me .;Forgiveness
i am sorry for everything .;Guilt
if i had done this a long time ago it would have saved a lot of pain .;Guilt
dear wife before this reaches you i shall be no more the weight of my misfortunes which i have brought upon myself by my criminal intercourse with mrs . d . i am not able to bear any longer and am therefore determined to quit a life that for some years has been but of little use to you or my children .;Guilt
i am ashamed of myself unable to grow out of childishness .;Guilt
i am sorry .;Guilt
and now i am the one who is blamed for everything .;Guilt
for several years i have been mistaken for another party the reason for which is a similarity of names and by being in the same profession .;Guilt
i know that i am spoiling your life that without me you could work .;Guilt
i cannot go on spoiling your life any longer .;Guilt
i am sorry i had to do this here it is really more than i can stand the horror day after day at the court and in the streets .;Guilt
i am sorry to disappoint the vultures .;Guilt
people may laug at me for committing suicide when i have parents a wife and children .;Guilt
if i were alone i would not have committed suicide .;Guilt
i do not know how to apologize to my mother .;Guilt
when i think of my hardworking mother laboring without rest i cannot die despite myself .;Guilt
kids if there are any errors in this letter i did not proof it carefully .;Guilt
i am deeply sorry for you .;Guilt
forgive me for such a vulga ote .;Guilt
sorry about this .;Guilt
in doing so i am very much afraid that i have brought a great deal of unhappiness to those who have loved me .;Guilt
forgive me .;Guilt
i am sorry i have to leave you alone .;Guilt
i have lied repeatedly about small things but unfortunately i forget what these small things were .;Guilt
i sincerely regret any inconvenience that this may have caused anyone involved .;Guilt
i am sorry to the people that i love but i can not fucking take it anymore .;Guilt
i do not want to be such a fucking problem for my family either .;Guilt
i wish i never told anyone i am gay why the fuck did i do that .;Guilt
i coulnd not do that do you .;Guilt
now i cannot stop crying i am so fucked up my head is so fucked up mom and dad i am sorry .;Guilt
i guess i am crying because i am sorry mom and dad but i am hppy that i will be in heaven and no more attacks .;Guilt
i am really sorry that i did this .;Guilt
i am sorry once again .;Guilt
i am sorry i continue to dissapoint you .;Guilt
i am sorry i have changed .;Guilt
and i do not know what to tell you other than i really am sorry but i know you wo not believe me .;Guilt
it was mostly my fault please forgive me .;Guilt
i feel guity beyond words about these things .;Guilt
the worst crime i can think of would be to rip people off by faking it and pretending as if i am having 100 fun .;Guilt
the life i would have lived is not worth living in because i am transgender .;Guilt
sorry if that is not a good enough reason for you it is good enough for me .;Guilt
i am so sorry i was not good enough for you or this school .;Guilt
sorry i was not perfect .;Guilt
sorry i was not pretty .;Guilt
sorry i was fat .;Guilt
sorry i came into this world .;Guilt
i am sorry i cannot name every one of you especially a . c . man thanks for being in my life .;Guilt
i am sorry we are not going to have our chance .;Guilt
i am sorry for the goldman family .;Guilt
forgive me fo ot seeing them .;Guilt
NAME i wanted to help you paint but how could i with a broken heart .;Guilt
do with NAME whats best i know she has been a lot of worry to mama and i am sorry .;Guilt
since i am a victim of political persecution my prison would simply be an american gulag .;Guilt
i realized how much i had hurt my friends and family which i did not think about before .;Guilt
NAME NAME sorry for using your room for this thing .;Guilt
to asa family sorry for disappointing all of you .;Guilt
NAME you were tired of life with me and with our poor situation because i never fulfilled your dreams and wishes .;Guilt
i am so . . sorry for being skinny .;Guilt
i am unable to take the responsibility and look after my family .;Guilt
i have always let each of you down in more ways than i can remember .;Guilt
i am just sorry i burden all of you the way i have .;Guilt
what did i provide ?;Guilt
i blame myself for her being gone !;Guilt
i have always brought you down .;Guilt
i am sorry for all that i have done to us .;Guilt
lee i am sorry;Guilt
i do not know how to say this to you but i might as well now as i have nothing to lose .;Guilt
i am embarrassed to start this but thank you for understanding and having changed my life even though you changed it i still am lost i mean i cannot get myself together i think it is because everything is pulling against my concentration everything one does or lives is impossible almost .;Guilt
sorry for this too brief letter .;Guilt
sorry .;Guilt
i feel that i will not improve and cannot keep on causing you and the children so much misery .;Guilt
i let him down .;Guilt
i cannot tell you how sorry i am for ending my life the way i did .;Guilt
i know that i am spoiling your life that without me you could work .;Guilt
as a father i could not give you much hence leaving you alone .;Guilt
i am glad to be here .;Peaceful
free at last .;Peaceful
i am so glad there is a dr . kevorkian to help me .;Peaceful
if we can enter eternal sleep we may at least have peace even if we may not enjoy happiness .;Peaceful
i spent christmas eve alone in this apartment hearing the laughter and joy of neighbors .;Peaceful
feeling very happy .;Peaceful
what a beautiful place this was .;Peaceful
i have done my part by the world as best i could .;Peaceful
i am very happy now .;Peaceful
this is my independence day from life .;Peaceful
be happy that all the bad shit i feel is goint fo be over finally forever .;Peaceful
they do not win i will win because i will be happy and they are horrible people . fuck i can not stop crying but i am very happy to it is weird .;Peaceful
i am getting happie ow .;Peaceful
i am not crying anymore and i am rfeeling happy .;Peaceful
i am happy .;Peaceful
i am really happy now .;Peaceful
i am happy now .;Peaceful
now that it is all said i feel at peace .;Peaceful
i appreciate the fact that i and we have affected and entertained a lot of people .;Peaceful
peace love empathy .;Peaceful
the support and friendship i received from so many NAME NAME NAME NAME NAME NAME NAME .;Peaceful
we had some fun .;Peaceful
you are special .;Peaceful
i have had a good life .;Peaceful
nicole and i had a good life together .;Peaceful
i have had a great life great friends .;Peaceful
peace and love NAME .;Peaceful
smiley face inside the o;Peaceful
i would have been lucky to make it to the front door .;Peaceful
i guess i was lucky because the doctors told everybody i was not going to make it .;Peaceful
but never forget i will whoop your ass if you get too crazy . . haha !;Peaceful
i have had a wonderful life but it is over and my nerves get worse and i am afraid they will have to take me away .;Peaceful
though i am about to kick the bucket i am as happy as ever .;Peaceful
i am satisfied with my decision because i have never been the man you NAME and especially NAME deserved .;Peaceful
am i glad i was rescued ?;Peaceful
oh yeah .;Peaceful
happy and fresh;Peaceful
many are happy and joyful .;Peaceful
but to those of you with depth and concern the real story will be what i hope and pray results from this morning in the coming months and years the development of a true justice system here in the united states .;Hopefulness
all my thoughts are with you with edda and all my beloved the last beats of my hear i will mark our great and eternal love your NAME;Hopefulness
my dear sister we are both going blissfully into the uncertain beyond .;Hopefulness
if you can arrange a tolerable life for themthanks .;Hopefulness
good luck to those who remain NAME .;Hopefulness
i believe that it is advisable if ones inclinations lead to the antisocial side .;Hopefulness
enticing as personal immortality sounds i hope for oblivion .;Hopefulness
woman good to be alive today .;Hopefulness
may i take the liberty of asking your favor for my family members;Hopefulness
i know you have a job to do but as a last wish please please please leave my children in peace .;Hopefulness
i hope i helped yours .;Hopefulness
peace and love NAME please please please leave my children in peace .;Hopefulness
please comfort my wife and tell her that this was no ordinary suicide and that she can rest assured that god will still gather me up in his great mercy god protect my dearest ones god bless you dear pastor evermore .;Hopefulness
in this instance the act is justified at least i believe so .;Hopefulness
and i know you will .;Hopefulness
i do hope i have not let people down too much .;Hopefulness
i only hope this has done the job .;Hopefulness
i would hope that someone could help me proofread it .;Hopefulness
in hopes the almighty will pardon me was i sure of that i should leave the world without the least regret .;Hopefulness
you may laugh at the contradiction between the love of nature and the wish for suicide .;Hopefulness
i may end my life in such a way that it appears to be death from illness .;Hopefulness
my wish to commit suicide now is probably the only willful act in my life .;Hopefulness
this is the best way .;Hopefulness
i hope you will soon get a kind and more prosperous if not independent husband for you are worthy i tried every move but without success to put myself beyond of it debt and difficulty and live in an independendcy sic with the world but you have only to be branded with the name of dewing and its the guinea stamp to be poor and in difficulties however vigilant persevering industrious economising you may be .;Hopefulness
i wish to be buried in uniondale cemetery no 4 facing marshall ave . so that i may be able to see the fairweather friends and thank them for their sarcastic and hateful remarks .;Hopefulness
farewell our dear dear friend and be very happy it is said to be possible on earth .;Hopefulness
farewell my dear friends in joy and sorrow remember two strange people who will soon embark on their great voyage of discovery .;Hopefulness
waiting .;Hopefulness
o god bless me through the evils of this day .;Hopefulness
o god bless us all through the evils of this day .;Hopefulness
like cherry blossoms in the spring let us fall so pure and radiant .;Hopefulness
goodbye sweets be seeing you soon .;Hopefulness
i am waiting .;Hopefulness
tenno heika banzai tenno heika banzai tenno heika banzai long live the emperor;Hopefulness
goodbye my darling i hope you will be able to come see me soon .;Hopefulness
you got what you wanted .;Hopefulness
may you never ever forget .;Hopefulness
i hope you can understand that .;Hopefulness
i thought i should at least make some attempt to let the world know what NAME and the peoples temple isor wasall about .;Hopefulness
i do it so it feels real .;Hopefulness
i guess you could say i have a call .;Hopefulness
may the precinct get along without you .;Hopefulness
i do hope she will understand what my malady was and forgive me a little .;Hopefulness
i will be at peace .;Hopefulness
god believe me i do .;Hopefulness
the courage .;Hopefulness
can i deny myself that certainly i know more about her than she does about me .;Hopefulness
and then all it takes is a little courage .;Hopefulness
i hope you understand .;Hopefulness
take good care of our adored little joseph and continue loving him as i love you .;Hopefulness
i will probably be considered insane as anyone taking his life is supposed to be slightly insane .;Hopefulness
i am wondering if the newspapers will decide to devote any space to me .;Hopefulness
i am wondering if i will find anything in death .;Hopefulness
maybe yet i will find it maybe sweet music .;Hopefulness
my intention i wish to use my body as a torch to dissipate the darkness to waken love among men and to bring peace to viet nam .;Hopefulness
god will understand and i know that .;Hopefulness
i now i need to die but i will be fine after i am dead .;Hopefulness
i am so sure of that because god will take care of me .;Hopefulness
i never did anything wrong and i know ai will go to heaven .;Hopefulness
i wil commit suicide and i will have peace and be freed .;Hopefulness
you must understand .;Hopefulness
i will be so happy in heaven .;Hopefulness
i can just be normal like everyone else .;Hopefulness
i have wanted to be dead for so long .;Hopefulness
so you will be happy .;Hopefulness
no more burden for you .;Hopefulness
you must understand me .;Hopefulness
nobody will hurt me again ever ever .;Hopefulness
no one will call me a fag or a queer or a pussy or a fag boy or anything .;Hopefulness
nobody is going to spit on me again .;Hopefulness
i guess that they do .;Hopefulness
i hope it is all that not here .;Hopefulness
i think i will be happy in heaven no longer a faggot just a person .;Hopefulness
to make everything better i have to die .;Hopefulness
i will be waiting at heaven s gates for you .;Hopefulness
i expect pain very likely to outweigh happiness and satisfaction in my life .;Hopefulness
it seeks to keep me alive and procreating .;Hopefulness
best wishes and fond regards;Hopefulness
ps here s hoping this encourages someone else who would benefit from it to take the leap .;Hopefulness
and now good bye may heaven send you a death even half equal to mine in joy and unutterable bliss that is the most heart felt and profoundest wish that i can think of for you .;Hopefulness
i will be at peace .;Hopefulness
no one had anything to do with this .;Hopefulness
i wish we could rewind .;Hopefulness
i feel calm and at peace and grateful that i can go to sleep painlessly .;Hopefulness
i wish i could have made a happier life for you .;Hopefulness
i wish with all my heart that they might have been better rewarded all of you my dear ones i ask to keep my memory alive in your hearts to live on in the hearts of our dear ones is all that i can conceive of immortality .;Hopefulness
i think NAME would like to have him with him at that time .;Hopefulness
i wish i could spare you the ordeal you have ahead .;Hopefulness
be glad i am at least free from the misery of the bronchoscopy .;Hopefulness
i wish i could spare you the ordeal you have ahead .;Hopefulness
why do not you just enjoy it ?;Hopefulness
for her life which will be so much happier without me .;Hopefulness
if you are reading this it means that i have committed suicide and obviously failed to delete this post from my queue .;Hopefulness
if you are reading this parents please do not tell this to your kids .;Hopefulness
although the reaction from my friends was positive my parents were pissed .;Hopefulness
they wanted me to be their perfect little straight christian boy and that is obviously not what i wanted .;Hopefulness
they were extremely excited to see me and talk to me but only at first .;Hopefulness
the only way i will rest in peace is if one day transgender people are not treated the way i was they are treated like humans with valid feelings and human rights .;Hopefulness
good luck .;Hopefulness
god brought you to me i now see .;Hopefulness
this way they can move on and go on with their lives .;Hopefulness
let my kids live in peace from you press .;Hopefulness
all her friends will confirm that i have been totally loving and understanding of what she has been going through .;Hopefulness
i hope i helped yours .;Hopefulness
we split into two to come change the world !;Hopefulness
i only hope this is fatal then i can rest and no more trouble to any one .;Hopefulness
we were confident that right and truth would prevail and i would be acquitted and we would devote the rest of our lives working to create a justice system here in the united states .;Hopefulness
but to those of you with depth and concern the real story will be what i hope and pray results from this morning in the coming months and years the development of a true justice system here in the united states .;Hopefulness
lets see if this will do it .;Hopefulness
let us see if i get myself with this one .;Hopefulness
pros or cons did not weigh them but i am sure you will let me know your view .;Hopefulness
but we could grab a drink after .;Hopefulness
i need a favor if you have any contacts for any artists like NAME NAME NAME NAME NAME . . etc .;Hopefulness
i would like to send you letters so you can send to their information or whichever way you think best .;Hopefulness
so i think that is the best idea through you .;Hopefulness
it is something i have to do and i would appreciate if you could do that for me if possible !;Hopefulness
the time has come for me to move on .;Hopefulness
and i wo not be the one to destroy anyone else s hopes and dreams .;Hopefulness
i must have peace and this is the only way .;Hopefulness
we are poor but now you do not have to be tense over my marriage .;Hopefulness
i hope i can find a place of peace and happiness a place i am child enough to live yet man enough to survive .;Hopefulness
i hope you can truly believe me .;Hopefulness
maybe on my journey i will find jesus .;Hopefulness
i want a new beginning .;Hopefulness
i hope i made a place in all your hearts and touched each and every one of you in a special way .;Hopefulness
i must find a new world a world of peace and happiness .;Hopefulness
please see to it that my family is paid that .;Hopefulness
i wish all the very best for the future .;Hopefulness
good luck to all .;Hopefulness
my last wish is that you should live your future life happily .;Hopefulness
even though i live i am not really alive .;Hopefulness
may her guts rot in hell i loved her so much .;Hopefulness
as you get this letter this should be no surprise that i have decided to leave the earth because i need to be with NAME .;Hopefulness
i know you do too .;Hopefulness
sure that will not bring NAME back but was NAME threatened ?;Hopefulness
someday you will be a great wife to lee and a fantastic mom .;Hopefulness
this will solve all our problems .;Hopefulness
you cannot hurt me further and anyone else .;Hopefulness
if it is possible to love in the hereafter i will love you even after death .;Hopefulness
may god have mercy on both our souls .;Hopefulness
i hope it makes you very happy this is not an easy thing to do but i have got to the point where there is nothing to live for a little bit of kindness from you would of made everything so different but all that ever interested you was the dollar .;Hopefulness
i will see you all in the heavens awaiting you all with the same love .;Hopefulness
i must end it .;Hopefulness
i will be at peace .;Hopefulness
god bless you my son and when your time comes to go to heaven you will find your ole pappy waiting for you .;Hopefulness
long live his imperial majesty .;Hopefulness
i hope you will understand what i am trying to convey to you .;Hopefulness
i thought he has got rid of everybody else he is going to get rid of himself and he did .;Hopefulness
i wish to god that if i am reborn i should be his wife although he has pained me much .;Hopefulness
i hope that someone finds this post and i hope that my parents know that i fucked up not them .;Hopefulness
i hope that you can all find it in your heart to see it as way for me not suffering anymore and that i am finally at rest with myself for being at rest with the guilt that constantly ate at me for so long .;Hopefulness
and you will i know .;Hopefulness
i am going out and i hope it is out nirvanha i think the bhudaists how do you spell bhudaists ?;Hopefulness
i hope further and i do not insist that you have the ordinary decency decency that is to do so will you see valerie through college she is the only one about whom i am concerned as this . 38 whispers in my ear .;Hopefulness
while we think it so grand;Hopefulness
can be told in an instant;Hopefulness
hope shall meet hopeless;Hopefulness
we are better than holding our owne but in heaven god is almost over come and i kill myself so i may go and help him because i have a funny little quirk in my brain which helps .;Hopefulness
i hope you never take a wrong turn like i did .;Hopefulness
i hope you continue to grow .;Hopefulness
i hope you overcome the unsecurity and i hope you realise that you are ever so beautiful .;Hopefulness
ready and excited;Hopefulness
i am eager and keen to have a good time .;Hopefulness
leaving the world to be a better place .;Hopefulness
grandfather grandmother uncle and mother will love you so much that you will never miss me .;Hopefulness
i request you to take care of vaishnavi .;Hopefulness
i hope you will be free to take anyone any place and i am sure you will not have any trouble as to places;Hopefulness
give me liberty or give me death .;Hopefulness
the sun is leaving the hill now so hope nothing else happens .;Hopefulness
since then i am filled with a wondrous peace and i regard death as the final release .;Hopelessness
my mood is one of profound discouragement and my personal future appears bleak .;Hopelessness
i am tired of being tormented to hell thats what i am tired of .;Hopelessness
tired of it .;Hopelessness
thats what death is sleep i am tired of it all .;Hopelessness
i am bored with my bodily functions and my mind is going .;Hopelessness
i do not think i can pass .;Hopelessness
my life has been lived .;Hopelessness
i feel we cannot go through another of those terrible times .;Hopelessness
i cannot fight any longer .;Hopelessness
i tried to do my stuff but after marshalls summing up i have given up all hope .;Hopelessness
my mind refuses to think clearly and i am not able to cope .;Hopelessness
after three and one half years i find i can no longer go on with this pain and agony .;Hopelessness
but my being tired of eating and having sex must mean i am losing animal energy .;Hopelessness
at present i dislike everything including myself .;Hopelessness
without you life is unbearable .;Hopelessness
simplest and cheapest would be to use the body in a university dissecting laboratory .;Hopelessness
i would aim for my exit date to predate discomfort of intensity which might diminish my chance of creating on my own terms the final stroke of my lifes canvas .;Hopelessness
no treasure of my life and there are many is greater than the growth emerging from the approach to my death .;Hopelessness
even then i have nothing against life .;Hopelessness
i am tired of everyone saying how much talent i have got .;Hopelessness
i figure i could do no good for him than myself;Hopelessness
i am done with life i am no good i am dead .;Hopelessness
i have lost my dream of the jieitai i salute the emperor .;Hopelessness
the war is like my final act a war of frustration .;Hopelessness
i ought to have been among other things a good poet .;Hopelessness
seriously there is nothing to be done hello .;Hopelessness
ever since i was diagnosed as having cancer you have done everything conceivable to precipitate my death .;Hopelessness
i am at this point right now so embittered against the world that i do not know why i am writing this .;Hopelessness
i have run from wife to wife from house to house and from country to country in a ridiculous effort to escape from myself .;Hopelessness
theres no hope left .;Hopelessness
i am too much of an erratic moody baby i do not have the passion anymore and so remember it is better to burn out than to fade away .;Hopelessness
i do not have much hope to see her again but who knows at least i am plunging into the void where one no longer suffers .;Hopelessness
january 14 1950 i am filled with distaste for what i have done for all my works .;Hopelessness
there is only one answer suicide .;Hopelessness
i have no choice .;Hopelessness
i end mine because it seems not only futile but wrong to go on existing .;Hopelessness
i am tired and no one wants me .;Hopelessness
i have lost the ocean again .;Hopelessness
i cannot find the ocean end up slamming into a redwood just like i could have slamtned into a home .;Hopelessness
with aids as you know it is fairly downhil lwithout much any hope for a reversal .;Hopelessness
my wife and i choose to die in order to escape the disgrace of disposition or capitulation .;Hopelessness
i cannot stand it .;Hopelessness
i am so fucking tired of the shit .;Hopelessness
i am scared and i am tired and i can not take any more .;Hopelessness
is it better that they kill me or i kill myself i do not fucking know .;Hopelessness
i just want to die and that is all so i do not have to put up with this fucking shit .;Hopelessness
fuck fuck fuck fuck i just need to die .;Hopelessness
then i think about comitting suicide agaoin .;Hopelessness
i cannot live one more day .;Hopelessness
god must have wanted me to be with him now because he is tlling me to kill myself .;Hopelessness
i need to die just undertand .;Hopelessness
i feel so sick not i kind of feel happy to because i know know it will be over soon .;Hopelessness
but i have to die now because i cannot take one more day i cannot take one more fucking day of them saying fag queer hittng me spittin at me .;Hopelessness
what is heavenreally like mom and dad .;Hopelessness
everying will be fine i am happeire that i have ever been because it is all over .;Hopelessness
i am trying to watch tv but i do not know what i am watching .;Hopelessness
